Date,Reservoir 1 Level,Reservoir 2 Level,Generator Production (MWh),Discharge (m³),Load Shedding (MWh),Spillage (MWh),Bypass Water (MWh),Regulated Inflow (m³),Unregulated Inflow (m³),Penalty for Load Shedding,Penalty for Spillage,Penalty for Bypass
20/02/2025,18.1675693,10.41964073,46.43066018,144.4421256,8,4,1,1772,2663,85,24,13
21/02/2025,12.07309003,13.63645359,40.6930142,102.4162204,8,4,2,1921,2561,92,29,15
22/02/2025,17.82388329,10.9859423,42.54449774,128.1627922,4,2,0,1764,2839,91,29,10
23/02/2025,17.34577923,11.1647785,58.29389121,132.3911152,8,0,1,1957,3165,86,16,11
24/02/2025,13.00489386,12.54261231,49.87087319,110.4767312,6,0,2,1711,2811,99,16,15
25/02/2025,13.25823118,12.95467925,49.07145619,107.2552787,8,4,1,1577,2875,79,16,10
26/02/2025,17.92521392,15.29970341,40.76098357,145.2190567,6,1,2,2281,2845,93,21,18
27/02/2025,14.61445512,16.78391886,54.57274045,148.4408221,8,2,1,2165,2649,86,25,15
28/02/2025,17.30818029,15.92770941,50.56136162,149.5946429,1,0,2,1720,3387,85,27,16
01/03/2025,11.47984147,11.48360337,44.04161872,139.4880887,7,4,2,1868,3084,89,25,10
02/03/2025,18.52557782,11.72086032,42.2014752,133.1751035,6,1,1,2457,3080,91,18,17
03/03/2025,17.10884717,18.7876925,47.66775727,117.2865126,5,1,1,1846,3476,75,29,14
04/03/2025,19.06942809,15.58352315,56.74323928,108.5699156,4,1,1,1524,2676,76,20,14
05/03/2025,11.32372379,18.69937833,57.30589118,103.94903,3,3,0,2475,2853,83,21,15
06/03/2025,15.930145,13.71546511,52.05692761,134.6648734,6,1,0,1919,3013,80,23,16
07/03/2025,15.99120585,16.14400007,54.55072854,139.2361708,2,4,1,1853,2808,81,25,16
08/03/2025,13.53460741,15.23663416,42.30311575,141.3226826,7,2,0,2219,2618,83,16,14
09/03/2025,14.58466425,13.1912349,51.76252131,145.6882502,1,4,2,1916,3018,74,24,10
10/03/2025,10.37981563,14.69915372,53.33931407,143.9964782,0,1,1,2014,3266,74,26,18
11/03/2025,17.45860039,15.02490877,44.01425686,149.9870636,1,2,0,1714,3495,89,27,15
12/03/2025,15.49322479,12.00770975,57.60309466,112.2032005,8,0,1,2406,3472,91,23,18
13/03/2025,10.57741052,13.15010372,43.89993475,138.1653808,4,0,2,1611,3415,92,25,13
14/03/2025,16.80755893,17.91409751,46.2695472,129.3229756,7,4,2,2453,2977,95,19,11
15/03/2025,14.66782077,19.15788239,52.41113694,113.0622566,2,2,0,2203,2913,84,27,12
16/03/2025,10.34461259,13.59794094,52.7670013,149.0952661,6,4,2,2413,3086,95,20,13
17/03/2025,19.69607727,13.06972282,53.98769482,144.8949052,1,2,1,2058,2850,70,20,19
18/03/2025,19.49112143,11.95197165,42.24023426,106.4257834,7,2,0,1927,3005,94,25,17
19/03/2025,15.12902416,16.78491169,56.9892886,101.3079171,6,4,1,2232,2694,99,17,12
20/03/2025,10.93672421,13.23099702,50.65694265,134.4165381,4,2,1,2198,2686,93,25,17
21/03/2025,17.54621222,19.87749539,49.42643588,130.2065314,3,1,1,2061,2949,92,25,15
22/03/2025,14.919311,13.25684802,59.62195249,146.7907812,0,2,2,2208,2995,78,24,13
23/03/2025,13.02447478,13.94136047,54.80756594,111.7002644,4,2,1,1715,3014,72,21,16
24/03/2025,14.91418178,16.03334196,42.36012053,104.2193974,8,4,2,1912,3195,95,29,14
25/03/2025,15.22444145,18.01684293,55.13078334,112.9607667,9,0,1,2232,3346,73,27,14
26/03/2025,15.62711699,14.69518665,41.90497868,100.946382,3,3,2,1879,2772,85,21,18
27/03/2025,14.41223714,14.22656034,40.54941125,101.7946376,8,2,2,2101,3379,76,22,12
28/03/2025,16.05755303,19.95637834,48.07251791,145.7428903,1,3,2,1731,2551,91,19,19
29/03/2025,19.18734711,10.10493641,59.87156346,117.6008291,3,2,1,2334,2762,83,16,13
30/03/2025,13.62268087,18.95065289,43.49767872,120.5404501,8,4,1,1757,2867,85,29,14
31/03/2025,17.25716463,11.49140826,53.45288687,100.9185827,3,4,2,2164,2632,98,27,10
01/04/2025,18.94452557,17.85925276,43.46792132,113.526089,4,2,1,1755,3493,87,17,16
02/04/2025,14.55979276,16.1793156,54.4957395,140.2362992,7,4,2,1902,2724,85,23,17
03/04/2025,14.43455836,13.41847285,50.10707336,130.774548,0,4,1,1923,2809,85,29,15
04/04/2025,16.02116985,18.73874956,53.5994342,137.6890301,0,2,2,2269,3072,71,20,18
05/04/2025,15.91406759,10.12907228,44.05746352,122.360687,8,0,2,2478,3376,79,22,12
06/04/2025,18.06589342,12.26690652,54.91256665,115.4864611,8,2,0,1564,2515,76,22,11
07/04/2025,14.76483384,15.66892796,59.91238119,124.1405047,3,0,1,1689,3240,94,28,14
08/04/2025,19.9612295,13.5154226,53.31301001,116.1535534,1,4,1,2102,2694,96,19,18
09/04/2025,10.59471569,16.10377495,49.86959996,141.9485548,8,0,0,2449,3262,84,15,10
10/04/2025,10.03167849,10.24110193,58.46347977,114.8836858,3,4,2,1672,2942,97,20,10
11/04/2025,16.40198312,11.1645893,40.31703684,132.988182,5,0,2,2258,2802,78,21,19
12/04/2025,12.98434912,11.2709624,54.59847039,106.8491111,0,0,0,2267,2547,76,23,12
13/04/2025,12.40382389,11.89283646,57.77493034,134.3433247,8,2,0,2127,3246,96,16,19
14/04/2025,13.1189908,14.59331441,41.23349167,145.6649856,4,0,2,2060,2620,93,26,12
15/04/2025,12.56047565,17.521287,49.00128341,130.4291577,2,4,1,1726,2998,85,27,14
16/04/2025,10.3079005,19.05538838,44.09438908,127.992769,3,2,0,2080,3331,95,16,13
17/04/2025,19.71533042,18.3537253,51.33036331,148.0559134,0,0,0,2433,3061,72,24,15
18/04/2025,12.20745488,11.96887872,52.99085917,131.3698278,8,2,0,1887,2968,86,15,17
19/04/2025,17.34029763,14.41150552,46.05246366,112.9775217,7,3,0,1900,2540,92,19,17
20/04/2025,17.62596395,11.99411598,49.19963339,114.6195512,3,2,0,2137,2955,77,16,13
21/04/2025,19.29257398,12.64471817,45.58678971,135.2653321,1,3,0,2448,3033,71,17,10
22/04/2025,10.30549457,15.03546982,47.38782329,136.7718297,8,3,2,1712,2870,94,16,16
23/04/2025,18.72048338,10.68109025,43.19079913,115.1748116,3,2,2,1552,2681,89,25,15
24/04/2025,15.27226181,12.1817433,57.71118887,117.2671989,8,4,0,2123,3016,95,18,14
25/04/2025,16.3254411,19.35378161,40.20020821,149.5528254,9,4,2,2170,3156,96,25,13
26/04/2025,16.44470277,14.66116293,57.64818373,105.0976275,2,4,1,2251,3368,94,17,15
27/04/2025,18.19797805,14.45386526,51.43357757,120.2322514,6,1,1,2161,3089,98,23,17
28/04/2025,13.33407322,10.14567155,46.63315688,103.1223766,6,3,0,1638,2730,72,24,15
29/04/2025,17.3305119,12.47399747,54.46114251,141.0539181,9,2,1,1917,3308,77,26,12
30/04/2025,15.2857811,18.66292436,50.15504304,104.6172919,3,4,1,2124,2847,96,16,18
01/05/2025,17.93394014,11.64628428,49.98217316,133.7003678,1,4,2,1642,2978,71,21,12
02/05/2025,19.90546033,14.1512494,42.20284566,102.8241712,8,2,2,2381,2708,99,29,13
03/05/2025,12.00651017,10.14330906,47.79032052,133.6427519,3,3,2,2008,3174,88,25,14
04/05/2025,19.94648642,14.78335482,44.82128692,142.1518473,7,2,2,2149,3179,86,28,11
05/05/2025,10.89812154,10.21021107,40.31391811,119.9410763,1,1,1,1985,2777,74,17,19
06/05/2025,10.02317548,18.19609553,47.20199262,126.1063247,7,1,0,2491,3248,89,24,19
07/05/2025,10.44161936,18.24853767,41.79644259,120.0770869,9,2,2,1936,3187,98,22,11
08/05/2025,13.41782405,17.87742188,45.13660075,115.0244379,4,3,1,2315,2552,86,18,15
09/05/2025,16.32906331,12.83364069,41.85033242,140.16317,6,4,2,2042,3360,79,28,11
10/05/2025,10.69029541,18.37237218,42.01883251,113.6001287,6,1,1,1792,2509,78,18,19
11/05/2025,10.05665815,15.42998133,43.98022589,136.1471712,8,1,2,2119,3157,91,23,10
12/05/2025,19.37091028,13.73808109,59.99698489,110.309854,2,3,0,1783,3238,75,25,17
13/05/2025,18.21926636,16.2532996,40.04368286,112.4926898,9,1,2,2170,3247,99,17,19
14/05/2025,18.09183171,10.12341046,52.77345272,116.8230581,3,1,0,2337,2963,80,21,19
15/05/2025,18.84424276,11.42960878,42.82487396,129.4578189,9,3,2,1513,3253,71,15,10
16/05/2025,17.00034273,17.42293538,58.41256273,122.721116,3,2,2,2133,3316,99,21,19
17/05/2025,11.0440413,12.44161609,41.87265787,137.2572405,9,4,2,2226,3082,92,24,15
18/05/2025,13.99100188,15.98009117,59.10126374,110.678365,4,4,1,1771,2657,81,25,10
19/05/2025,17.23149486,13.85102603,52.21852775,100.5336144,5,1,1,1524,2518,81,16,17
20/05/2025,12.80334461,18.54805779,40.02536154,138.8278736,2,4,0,2434,2554,85,26,14
21/05/2025,16.87406364,19.52415306,57.88014396,141.0824667,3,2,0,1821,3455,94,28,12
22/05/2025,10.24498448,18.83564728,50.43423603,102.9740082,2,1,1,2305,3226,91,28,14
23/05/2025,13.06137341,12.70619995,45.25339471,130.5453761,1,4,0,2180,3467,96,20,10
24/05/2025,15.49130336,11.94162869,55.34558355,118.9103392,9,0,0,1602,3220,93,29,10
25/05/2025,16.3208983,14.74434894,58.53331108,139.6947828,8,0,1,2365,2520,81,27,13
26/05/2025,15.77040664,10.07334151,49.67381646,143.7207277,0,0,1,2382,2781,90,23,18
27/05/2025,16.97756276,10.25809393,46.31106949,142.5501883,1,0,1,1539,3260,87,20,18
28/05/2025,10.06088748,15.5329064,55.77890248,138.8602124,7,0,1,1734,3039,82,17,10
29/05/2025,11.009412,15.20449404,53.63570996,113.4526114,6,1,2,2331,3434,84,15,12
30/05/2025,18.68944252,19.94581989,57.77504968,140.5944822,0,3,1,1588,2916,85,26,13
31/05/2025,16.81748644,12.01841835,53.85028026,126.6739238,4,3,0,1599,3307,73,26,11
01/06/2025,11.12931643,12.58103929,44.87056678,102.6378307,9,1,2,1643,3222,81,29,16
02/06/2025,18.42074437,11.13540642,58.633185,122.8469425,5,1,2,1581,2784,86,18,12
03/06/2025,12.42231218,19.1754301,42.09671494,147.1078959,4,2,0,2088,3031,70,18,10
04/06/2025,14.78259884,17.77811244,45.358855,144.3929675,3,3,2,2070,3031,91,27,10
05/06/2025,11.45196513,18.22339111,50.40389215,105.113214,0,0,0,1728,3010,87,22,12
06/06/2025,17.10110056,19.02763788,51.31484052,137.2063343,6,1,2,2102,3341,91,24,15
07/06/2025,16.66854421,15.24899987,40.30621173,140.2896433,8,0,2,2365,2895,85,24,13
08/06/2025,12.11112471,14.51193191,55.61145452,113.5694094,5,3,0,1894,2619,70,28,10
09/06/2025,18.63400767,13.30391474,47.23214637,123.5804285,2,4,0,2012,2596,96,27,16
10/06/2025,14.01306024,15.89214614,48.12837082,135.5493971,9,4,0,2280,2619,79,21,11
11/06/2025,12.92515091,14.54278397,56.18739089,121.9520744,3,1,0,2297,3036,88,24,14
12/06/2025,11.52329589,14.51565587,47.58566783,105.6398459,9,2,1,1696,2652,85,21,17
13/06/2025,12.66168013,19.36927864,40.94449753,135.2941222,4,0,1,1773,2744,83,21,16
14/06/2025,10.22026921,19.84031514,43.52879541,145.5819345,0,1,0,2089,3271,94,26,17
15/06/2025,15.83257492,17.96484389,59.11806345,132.6242364,4,2,1,2152,3015,71,16,19
16/06/2025,18.42230746,17.5675809,41.40810725,138.6900374,0,0,0,2299,2892,93,23,15
17/06/2025,15.48980449,16.80558162,47.09862402,117.9181268,8,3,0,2082,2642,75,20,16
18/06/2025,12.19273962,11.66074852,50.06358334,109.1599123,6,4,2,2467,3003,97,16,18
19/06/2025,10.33669178,10.59105821,49.86561655,132.1386831,2,2,0,2061,3293,91,15,15
20/06/2025,12.14628073,16.90726315,40.07919886,116.3885603,8,0,0,2466,3346,92,25,18
21/06/2025,14.16121428,17.28786222,50.02325463,143.0036759,1,1,0,1871,3357,74,15,11
22/06/2025,17.59611429,10.46972991,47.67544916,106.1314025,6,0,0,2380,2719,81,15,11
23/06/2025,11.87842853,19.2805175,59.44158671,121.673185,8,1,2,1579,3338,96,18,11
24/06/2025,17.19791453,10.91140639,43.18318168,119.83638,5,4,0,1734,2659,73,18,15
25/06/2025,18.66933468,12.85900534,47.08308394,146.9026927,9,4,2,1786,2575,91,28,11
26/06/2025,14.53946848,16.72389813,48.3896297,107.65674,4,0,0,2318,3110,93,26,12
27/06/2025,18.21431992,11.69872594,47.81387074,100.4923413,6,0,2,2166,3191,73,23,17
28/06/2025,15.54657348,10.55415888,53.31661655,111.9042606,5,1,1,2071,3138,74,27,17
29/06/2025,16.37090837,13.31146489,44.31025715,141.013843,4,1,2,2044,2531,76,26,13
30/06/2025,15.2627846,17.65971575,44.42143106,110.4660908,1,2,2,1936,3276,75,26,18
01/07/2025,14.63172717,14.13678679,54.58421897,112.0439032,7,2,0,1626,2833,82,15,17
02/07/2025,12.34653442,16.52972922,50.00581037,106.4949402,6,2,2,2232,3024,73,17,10
03/07/2025,13.03194059,15.79619097,48.30311352,135.7718102,5,0,2,2211,2939,82,17,17
04/07/2025,12.89970119,10.22218482,43.38406103,103.4587095,4,2,0,1916,3391,73,22,10
05/07/2025,15.63288931,19.88539987,43.75054446,116.5604151,4,0,1,2137,3439,79,16,13
06/07/2025,11.19953693,10.41428089,40.21103274,114.1249363,8,4,1,1540,3492,89,20,19
07/07/2025,19.16791691,19.67802738,41.82852538,127.7579865,0,3,1,2286,2851,70,25,15
08/07/2025,17.20655145,15.49864178,51.13677389,136.5208133,8,4,2,1968,2838,90,18,16
09/07/2025,14.01445631,19.63159027,57.8374626,126.6438217,5,0,0,1796,3425,77,27,19
10/07/2025,11.58624145,11.14753599,45.7432953,146.5512996,3,0,1,2096,2899,76,24,13
11/07/2025,18.8199217,14.90408519,46.55494452,147.5721319,9,3,1,2100,2895,74,20,17
12/07/2025,18.2377809,11.69504092,42.31211221,118.0732664,6,1,1,1541,2701,72,27,17
13/07/2025,17.21721553,10.50974877,47.77261891,138.8840188,8,1,1,2131,3461,84,19,18
14/07/2025,12.71547047,16.17529115,40.74443409,136.9400692,4,1,0,1778,3029,96,26,15
15/07/2025,14.02446637,12.07783421,58.35201393,144.6482296,4,2,1,1958,3408,86,23,13
16/07/2025,11.02748252,15.87697018,53.46222696,122.397182,7,1,2,1532,2592,98,23,11
17/07/2025,11.89039525,11.12364482,59.81497619,126.5236594,6,2,2,1775,3291,92,15,16
18/07/2025,17.83016637,13.31986471,57.65646325,120.7887157,7,2,0,2164,2857,82,17,19
19/07/2025,17.15038719,17.81632558,49.45981187,142.518846,9,1,1,1589,2895,84,15,12
20/07/2025,15.93485763,14.37051522,50.39370062,111.4851158,1,1,1,2115,3327,96,20,12
21/07/2025,18.95726726,16.27745415,43.81152093,111.9854539,8,3,2,2447,2559,88,26,12
22/07/2025,15.83266518,16.47457941,49.24078686,118.6302552,2,3,0,2023,2976,89,17,13
23/07/2025,14.66968,18.43755044,58.06055747,111.5171416,5,2,2,1659,3225,83,28,11
24/07/2025,13.40370746,13.24922794,41.01706847,128.0503418,5,3,0,2428,3111,90,15,14
25/07/2025,19.40448506,16.87295563,57.27113606,106.7245053,1,2,0,1957,2500,82,20,12
26/07/2025,10.82715462,19.61615807,46.81895603,116.009311,6,0,0,2207,3054,81,19,19
27/07/2025,19.30887372,17.30243334,57.9902553,145.6722349,8,2,2,1898,2810,93,26,14
28/07/2025,18.2671466,14.89870477,58.81759813,120.461274,9,2,0,2318,2667,98,26,16
29/07/2025,11.29929925,16.30717444,53.41729774,137.4116858,0,3,2,2273,2691,92,22,18
30/07/2025,15.64984358,17.39682898,53.28847573,105.6731096,7,0,2,1590,2533,78,28,11
31/07/2025,18.66547982,16.12275766,49.05508675,112.3782254,1,4,1,2208,2533,96,16,18
01/08/2025,15.71809164,10.16675813,56.71080449,140.3672811,0,4,2,2080,3187,72,22,19
02/08/2025,19.07199822,11.94773498,59.23225517,138.1496468,7,4,2,1965,2916,99,26,15
03/08/2025,19.42983817,18.10468217,55.50163601,119.3077959,1,0,1,1719,3207,80,19,15
04/08/2025,14.22384522,12.72650647,52.43873468,147.7198451,5,1,1,1918,3497,79,22,12
05/08/2025,13.77313661,17.3156212,52.13585792,145.5321508,5,0,1,1878,2657,70,26,19
06/08/2025,19.36321154,13.72120215,56.98939803,148.1150375,4,3,0,2225,3256,86,24,18
07/08/2025,16.75140061,15.21884328,50.82407532,121.3957345,7,2,0,2429,2999,97,18,13
08/08/2025,11.16022681,10.679733,56.07719772,109.8736792,2,2,1,1946,2865,95,29,14
09/08/2025,10.42291749,11.81225561,50.1777051,131.332932,9,3,0,2463,2839,82,18,12
10/08/2025,15.64629051,19.57196964,41.2488855,134.2386579,3,3,1,1645,3357,83,24,14
11/08/2025,19.30170965,18.90138053,47.67894018,106.2720892,6,2,0,1732,2834,70,29,17
12/08/2025,18.44248702,16.52275111,48.88881915,139.3241517,6,1,2,1870,3082,71,29,17
13/08/2025,16.75847746,14.59644597,42.8323449,100.903011,7,1,0,2421,2826,71,18,17
14/08/2025,11.39115849,16.75761293,42.04992658,124.1364194,1,1,0,1733,2613,76,28,15
15/08/2025,12.54231384,16.18610289,50.70929899,116.550813,1,3,2,2225,3296,78,25,10
16/08/2025,18.75511227,15.68552256,41.70287273,137.015153,3,2,1,1866,3418,93,29,19
17/08/2025,11.82807237,10.59177072,46.05890336,115.6380364,9,2,0,1980,2917,73,20,15
18/08/2025,12.78439408,16.32802611,54.89193952,141.3403556,8,2,0,2072,2967,71,18,19
19/08/2025,11.29600651,17.68920045,59.28864359,129.7476744,9,0,2,1862,2642,88,23,16
20/08/2025,16.76108231,19.94081655,54.35741161,139.6946681,8,0,2,2089,3108,95,23,18
21/08/2025,19.43982305,10.11078553,59.85251097,149.4670319,3,4,2,2010,2808,74,17,17
22/08/2025,12.68968032,17.30173453,53.96675943,133.9579173,8,0,2,1594,2900,78,21,17
23/08/2025,14.75406608,15.71789316,45.87588941,149.2475158,2,1,1,2341,2819,93,26,16
24/08/2025,16.3433974,14.34052176,53.44105081,101.4418163,4,1,0,1715,2711,82,19,11
25/08/2025,19.99466248,11.27570175,54.0431353,116.9069994,9,1,0,2224,2816,81,29,10
26/08/2025,11.04808065,14.09085149,47.43453969,105.3926632,8,1,0,2315,2684,99,26,11
27/08/2025,14.985708,13.54377183,40.35427701,113.1152466,5,4,0,2211,2704,88,23,15
28/08/2025,13.8512012,13.02829889,54.0639957,141.944395,2,1,1,2363,2863,78,16,11
29/08/2025,18.65820165,17.30879623,40.43400191,101.6161633,9,3,0,2042,2715,79,17,19
30/08/2025,14.75967731,17.00725521,52.62376156,126.0091468,8,3,1,2301,2745,88,24,13
31/08/2025,11.10977525,15.89020091,43.27232977,128.3564354,5,3,1,2354,2738,79,19,19
01/09/2025,16.34424145,19.38664813,51.31207055,128.0575573,3,0,2,2484,3304,81,26,12
02/09/2025,17.70780618,13.49854384,50.07826051,123.7648537,3,2,2,1634,2890,83,19,15
03/09/2025,10.02881252,12.43801938,40.27027285,139.5301482,7,4,0,1582,3019,77,24,17
04/09/2025,18.58956685,16.55903313,47.25731634,106.6771545,6,3,1,1890,3482,85,26,15
05/09/2025,11.86023,11.98814061,52.02182335,115.5288508,0,3,2,1546,3089,86,29,11
06/09/2025,15.52069365,13.15010507,56.97213104,130.7863027,5,1,1,1891,3335,89,28,14
07/09/2025,14.15797501,12.2460244,57.77284228,134.5475683,7,3,2,2217,2776,73,28,15
08/09/2025,17.19653817,10.69153568,49.6769994,120.2074216,2,1,1,1884,3456,75,21,18
09/09/2025,13.71161615,18.27498742,54.56844975,143.7685632,8,1,0,1880,2701,81,27,15
10/09/2025,18.69763177,12.54540543,46.32909153,120.7746698,9,2,0,1576,2713,97,28,19
11/09/2025,17.30496361,14.73027503,46.84372812,120.1388067,1,0,1,1758,3105,87,22,14
12/09/2025,16.47713171,10.43315273,43.88927038,101.8103631,5,1,2,2448,2977,76,22,10
13/09/2025,17.96240596,16.99339466,51.2389622,127.5570668,0,1,2,2103,3007,74,28,19
14/09/2025,17.54023035,13.30561002,46.29128302,135.4340419,1,2,0,2433,3475,79,15,14
15/09/2025,10.35938675,17.44736728,41.68741793,105.7219082,4,1,0,2446,2574,75,28,14
16/09/2025,13.94734354,14.1240306,53.70012173,115.2716383,0,4,0,1898,3481,96,15,15
17/09/2025,19.30807297,11.95755606,54.15506415,139.0628477,7,0,2,1599,3168,83,17,16
18/09/2025,11.25724269,15.13175082,47.19984838,118.2959718,0,4,2,2000,3164,75,15,13
19/09/2025,17.3709655,11.3050456,41.53446799,112.0801231,8,3,0,1882,3453,99,15,16
20/09/2025,19.74591811,14.4053916,48.52595435,133.6100332,9,0,1,2206,2641,83,24,14
21/09/2025,10.52198629,13.17305477,48.84670916,109.8379389,2,3,2,1691,3089,81,22,15
22/09/2025,16.82193881,19.11959584,53.3734177,144.782646,1,1,0,2079,2821,99,15,13
23/09/2025,14.68154141,10.60928722,46.30832783,105.2799198,0,2,1,2400,3193,96,23,17
24/09/2025,15.79175255,16.94017414,53.6519856,135.3274901,8,4,2,2253,2960,91,16,18
25/09/2025,10.85341336,11.82751166,57.42977084,124.9774351,3,3,1,2101,3206,95,23,11
26/09/2025,10.43006952,13.19045074,44.74972085,143.4964781,0,1,1,1844,3169,81,28,13
27/09/2025,16.66866661,14.15514063,59.57839112,106.3097546,0,4,2,1509,2645,77,21,17
28/09/2025,18.2330943,19.08015089,47.72736274,133.8947459,6,4,0,1763,2553,79,23,17
29/09/2025,17.82015335,12.42578266,45.3451737,128.602732,1,3,1,1767,2855,85,17,18
30/09/2025,15.43805728,10.91308803,48.43022365,124.0045071,6,1,0,2331,2776,89,15,12
01/10/2025,10.99866821,13.18689604,41.88794952,124.5703632,6,2,2,2129,3320,95,15,10
02/10/2025,16.88044444,11.04675971,42.51411813,136.0988481,9,3,1,2261,3094,77,25,18
03/10/2025,12.41888884,11.28596486,48.28868094,146.8870827,8,4,1,2070,2899,78,29,10
04/10/2025,19.11068703,15.73850598,55.24889044,104.562583,6,4,1,1694,3167,82,24,12
05/10/2025,18.3826536,10.60901933,58.00624479,100.9751324,0,0,1,2486,3015,98,20,12
06/10/2025,17.09382967,10.30930881,53.29635981,140.2852396,7,1,1,2061,2998,89,21,18
07/10/2025,19.48845956,17.14414101,42.1043911,105.4084694,7,0,2,1906,2810,86,23,10
08/10/2025,10.31421822,13.61647095,53.44039524,149.3348398,3,2,1,1795,2770,88,20,16
